trailer_title,url,imdb_id,year,rating,votes,genre
THE MAN WHO CAME TO DINNER trailer,https://archive.org/download/TheManWhoCameToDinnerTrailer/TheManWhoCameToDinnerTrailer.mp4,0033874,1942,7.6,6711.0,Comedy|Romance
NIGHT MONSTER trailer,https://archive.org/download/NightMonsterTrailer/NightMonsterTrailer.mp4,0035124,1942,6.3,1237.0,Adventure|Drama|Horror|Mystery|Thriller
WHO DONE IT? 1942 trailer,https://archive.org/download/WhoDoneIt1942Trailer/WhoDoneIt1942Trailer.mp4,0035555,1942,7.4,2260.0,Comedy|Mystery
CAPTAINS OF THE CLOUDS trailer,https://archive.org/download/CaptainsOfTheCloudsTrailer/CaptainsOfTheCloudsTrailer.mp4,0034578,1942,6.4,1375.0,Action|Drama|War
YANKEE DOODLE DANDY trailer,https://archive.org/download/YankeeDoodleDandyTrailer/YankeeDoodleDandyTrailer.mp4,0035575,1942,7.7,14016.0,Biography|Drama|Music|Musical
ROXIE HART trailers,https://archive.org/download/RoxieHartTrailers/RoxieHartTrailer1.mp4,0035272,1942,6.9,1585.0,Comedy|Crime|Romance
ALL THROUGH THE NIGHT trailer,https://archive.org/download/AllThroughTheNightTrailer/AllThroughTheNightTrailer.mp4,0034449,1942,7.1,3814.0,Action|Comedy|Crime|Drama|Film-Noir|Thriller|War
SABOTEUR trailer,https://archive.org/download/SaboteurTrailer/SaboteurTrailer.mp4,0035279,1942,7.2,23165.0,Thriller|War
RANDOM HARVEST trailer,https://archive.org/download/RandomHarvestTrailer/RandomHarvestTrailer.mp4,0035238,1942,8.0,6885.0,Drama|Romance
GENTLEMAN JIM trailer,https://archive.org/download/GentlemanJimTrailer/GentlemanJimTrailer.mp4,0034778,1942,7.6,3168.0,Biography|Drama|Romance|Sport
THE BLACK SWAN 1942 trailer.,https://archive.org/download/TheBlackSwan1942Trailer/TheBlackSwanTrailer.mp4,0034522,1942,6.8,3968.0,Action|Adventure|Drama|Family|History|Romance
IN THIS OUR LIFE trailer,https://archive.org/download/InThisOurLifeTrailer/InThisOurLifeTrailer.mp4,0034890,1942,7.4,4125.0,Drama
ROAD TO MOROCCO trailer,https://archive.org/download/RoadToMoroccoTrailer/RoadToMoroccoTrailer.mp4,0035262,1942,7.1,5057.0,Adventure|Comedy|Family|Music|Romance
THE GHOST OF FRANKENSTEIN trailer,https://archive.org/download/TheGhostOfFrankensteinTrailer/TheGhostOfFrankensteinTrailer.mp4,0034786,1942,6.2,5532.0,Drama|Horror|Sci-Fi
GEORGE WASHINGTON SLEPT HERE trailer,https://archive.org/download/GeorgeWashingtonSleptHereTrailer_337/GeorgeWashingtonSleptHereTrailer.mp4,0034780,1942,7.0,1499.0,Comedy
SON OF FURY trailer,https://archive.org/download/SonOfFuryTrailer/SonOfFuryTrailer.mp4,0035360,1942,7.1,1440.0,Adventure|Drama|Romance
WAKE ISLAND trailer,https://archive.org/download/WakeIslandTrailer/WakeIslandTrailer.mp4,0035530,1942,6.8,1764.0,Action|Drama|War
BAMBI trailer,https://archive.org/download/BambiTrailer/BambiTrailer.mp4,0034492,1942,7.3,130168.0,Animation|Drama|Family
INVISIBLE AGENT trailer,https://archive.org/download/InvisibleAgentTrailer/InvisibleAgentTrailer.mp4,0034902,1942,6.1,1779.0,Action|Adventure|Romance|Sci-Fi
MRS MINIVER trailer,https://archive.org/download/MrsMiniverTrailer/MrsMiniverTrailer.mp4,0035093,1942,7.6,15755.0,Drama|Romance|War
THE HUMAN COMEDY trailer,https://archive.org/download/TheHumanComedyTrailer/TheHumanComedyTrailer.mp4,0036022,1943,7.0,1877.0,Comedy|Drama|Family
SON OF DRACULA trailer 2,https://archive.org/download/SonOfDraculaTrailer2/SonOfDraculaTrailer2.mp4,0036376,1943,6.1,4649.0,Drama|Fantasy|Horror|Romance
CABIN IN THE SKY trailer,https://archive.org/download/CabinInTheSkyTrailer/CabinInTheSkyTrailer.mp4,0035703,1943,7.1,2736.0,Comedy|Drama|Fantasy|Musical
